annee,mois,elec,gaz_pcs,DJU_chaud,DJU_froid,usage
2017,01,178706,260204.875,446.4,,22797.17
2017,02,160836,145771.9181,284.4,,19157.36
2017,03,171247,111406.5819,233.1,,24005.02
2017,04,146406,71326.88306,237.1,2.5,19516.45
2017,05,147112,46893.92944,111.2,3.8,20463.92
2017,06,143756,28788.8125,51.5,32.9,21387.01
2017,07,135783,30506.65625,31.8,79,17095.18
2017,08,146099.2935,34928.84375,43.4,88.3,14609.28
2017,09,141386.413,44218.56452,102.2,74.4,15670.88
2017,10,146099.2935,71562.58065,125.8,12,16141.24
2017,11,148140,110923.3194,290.8,7.2,16337.53
2017,12,145246,184434.6484,340,,13836.34
2018,01,159944,177910.6452,295.8,,17070.27
2018,02,149477,195290.8065,393.1,,17175.47
2018,03,158718,171509,316.7,,17257.76
2018,04,137385,77239.8,177.4,12.3,14886.83
2018,05,123761,43206.07097,129.9,33.2,10153.76
2018,06,147655,33531.42903,39.3,67.2,16017.31
2018,07,150117,32144.15161,21.8,116.7,15866.44
2018,08,142378,33085.09677,42.7,86.1,13644.35
2018,09,139268,35592.25161,82.1,46.8,15945.03
2018,10,154699,55324.36129,161.3,15.5,18848.7
2018,11,145148,127436.2387,275,,16219.07
2018,12,135667,154510.7935,292.9,,13619.05
2019,01,160481,183374.0645,390.3,,16289.72
2019,02,143085,164693.3848,285.3,0.5,15988.55
2019,03,148858,117560.3571,254.3,0.6,17135.8
2019,04,141166,82111.9,219.8,8.7,17163.06
2019,05,134143,54436.35806,160.1,9.5,16086.82
2019,06,131292,38833.54194,72.7,65.7,15590.82
2019,07,150875,44448.23226,27.6,122.6,17203.26
2019,08,128275,40960.96774,39.1,81.9,12866.35
2019,09,139094,40260,66.6,37.7,17477.09
2019,10,155905,16984.90323,132.9,4.2,19768.64
2019,11,144844,130508.8968,286.5,,16486.54
2019,12,132376,163620.2323,326.2,,12524.23
2020,01,160108.2833,160109.6129,319.3,,294.5
2020,02,149778.7167,138155.7341,249.4,,255.75
2020,03,136379,120821.1046,275.3,0.3,240.25
2020,04,89083,49038.01613,139.3,17.8,54.25
2020,05,110638,30657.33871,107.5,37.5,147.25
2020,06,129858.1967,34082.76129,70,37.6,201.5
2020,07,134186.8033,34025.62581,48.4,75.1,93
2020,08,129916,38671.80645,34.5,100.2,209.25
2020,09,140034,39373.75722,67.3,57.4,302.25
2020,10,147772,62508.06767,166.6,0.9,232.5
2020,11,135620,83615.54286,219.9,0.1,193.75
2020,12,139386,136706.6645,329.2,,224.75
2021,01,153471,195564.4194,387.7,,263.5
2021,02,147928,148199.159,296.1,0.1,271.25
2021,03,166550,128374.0023,300.1,2.7,302.05
2021,04,145894,90258.05484,268.9,4.7,780.72
2021,05,130733,59589.81613,168.4,7.9,611.93
2021,06,146851,37800.78387,59.9,45.1,2948.43
2021,07,141232,37640.7,34.5,67.6,4785.94
2021,08,135345,6842.290476,48.3,41.2,7584.98
2021,09,144391,37770.6056,54.5,58.8,8121.68
