Date,Zone 2,Zone 4,Zone 10 
2023-05-01 01:08:30,19.6,19.8,20.5
2023-05-01 01:23:30,19.6,19.8,20.5
2023-05-01 01:38:30,19.6,19.7,20.5
2023-05-01 01:53:30,19.6,19.7,20.4
2023-05-01 02:08:30,19.6,19.7,20.4
2023-05-01 02:23:30,19.5,19.7,20.4
2023-05-01 02:38:30,19.5,19.6,20.4
2023-05-01 02:53:30,19.5,19.6,20.4
2023-05-01 03:08:30,19.5,19.6,20.4
2023-05-01 03:23:30,19.5,19.6,20.4
2023-05-01 03:38:30,19.4,19.5,20.3
2023-05-01 03:53:30,19.4,19.5,20.3
2023-05-01 04:08:30,19.4,19.5,20.3
2023-05-01 04:23:30,19.4,19.5,20.3
2023-05-01 04:38:30,19.4,19.4,20.3
2023-05-01 04:53:30,19.4,19.4,20.3
2023-05-01 05:08:30,19.3,19.4,20.3
2023-05-01 05:23:30,19.3,19.4,20.3
2023-05-01 05:38:30,19.3,19.3,20.3
2023-05-01 05:53:30,19.3,19.3,20.3
2023-05-01 06:08:30,19.3,19.3,20.3
2023-05-01 06:23:30,19.2,19.2,20.2
2023-05-01 06:38:30,19.2,19.2,20.2
2023-05-01 06:53:30,19.2,19.2,20.2
2023-05-01 07:08:30,19.2,19,20.4
2023-05-01 07:23:30,19.2,18.9,20.1
2023-05-01 07:38:30,19.2,18.8,20
2023-05-01 07:53:30,19.2,18.8,20
2023-05-01 08:08:30,19.2,18.6,20
2023-05-01 08:23:30,19.2,18.3,20
2023-05-01 08:38:30,19.2,18.4,20
2023-05-01 08:53:30,19.3,18.4,20
2023-05-01 09:08:30,19.3,18.4,20
2023-05-01 09:23:30,19.3,18.3,20
2023-05-01 09:38:30,19.3,18.3,20
2023-05-01 09:53:30,19.3,18.4,20.1
2023-05-01 10:08:30,19.3,18.4,20.1
2023-05-01 10:23:30,19.4,18.4,20.2
2023-05-01 10:38:30,19.4,18.5,20.3
2023-05-01 10:53:30,19.4,18.5,20.4
2023-05-01 11:08:30,19.5,18.5,20.4
2023-05-01 11:23:30,19.5,18.7,20.5
2023-05-01 11:38:30,19.6,18.9,20.6
2023-05-01 11:53:30,19.6,19,20.6
2023-05-01 12:08:30,19.6,19.1,20.7
2023-05-01 12:23:30,19.7,19.2,20.7
2023-05-01 12:38:30,19.7,19.3,20.7
2023-05-01 12:53:30,19.7,19.3,20.7
2023-05-01 13:08:30,19.7,19.4,20.7
2023-05-01 13:23:30,19.7,19.3,20.6
2023-05-01 13:38:30,19.8,19.2,20.7
2023-05-01 13:53:30,19.8,19,20.7
2023-05-01 14:08:30,19.8,19.1,20.7
2023-05-01 14:23:30,19.9,19.1,20.6
2023-05-01 14:38:30,19.9,19.2,20.6
2023-05-01 14:53:30,19.9,19.3,20.6
2023-05-01 15:08:30,19.9,19.4,20.6
2023-05-01 15:23:30,20,19.4,20.5
2023-05-01 15:38:30,20,19.4,20.5
2023-05-01 15:53:30,20,19.4,20.5
2023-05-01 16:08:30,20,19.4,20.5
2023-05-01 16:23:30,20,19.4,20.5
2023-05-01 16:38:30,20,19.4,20.5
2023-05-01 16:53:30,20.1,19.4,20.5
2023-05-01 17:08:30,20.1,19.5,20.5
2023-05-01 17:23:30,20.1,19.6,20.5
2023-05-01 17:38:30,20.1,19.6,20.5
2023-05-01 17:53:30,20.1,19.6,20.4
2023-05-01 18:08:30,20,19.6,20.5
2023-05-01 18:23:30,20,19.8,20.5
2023-05-01 18:38:30,20,19.9,20.5
2023-05-01 18:53:30,20,19.9,20.5
2023-05-01 19:08:30,20,19.9,20.6
2023-05-01 19:23:30,20,19.9,20.6
2023-05-01 19:38:30,20,19.9,20.5
2023-05-01 19:53:30,19.9,19.9,20.5
2023-05-01 20:08:30,20.1,19.9,20.5
2023-05-01 20:23:30,20.1,19.8,20.5
2023-05-01 20:38:30,20,19.9,20.5
2023-05-01 20:53:30,19.9,19.9,20.5
2023-05-01 21:08:30,19.9,19.9,20.5
2023-05-01 21:23:30,19.9,19.8,20.5
2023-05-01 21:38:30,19.9,19.9,20.5
2023-05-01 21:53:30,19.9,19.9,20.5
2023-05-01 22:08:30,19.8,19.9,20.5
2023-05-01 22:23:30,19.8,19.9,20.5
2023-05-01 22:38:30,19.8,19.8,20.5
2023-05-01 22:53:30,19.8,19.8,20.4
2023-05-01 23:08:30,19.8,19.8,20.4
2023-05-01 23:23:30,19.8,19.8,20.4
2023-05-01 23:38:30,19.7,19.8,20.4
2023-05-01 23:53:30,19.7,19.7,20.4
